ID,Sports,Interview Text,Speaker,Type,Labels,text_length,cleaned_text,tokens
11,Lacrosse,"Yeah, I mean, having them go out there and be aggressive, a lot of the credit goes to the scout defense.  Day-in and day-out they gave us a great look.",COLIN HEACOCK,Team,1,151,yeah mean aggressive lot credit scout defense dayin dayout gave great look,"['yeah', 'mean', 'aggressive', 'lot', 'credit', 'scout', 'defense', 'dayin', 'dayout', 'gave', 'great', 'look']"
12,Tennis, I can't say that I turned it up because he doublefaulted three times.  I wish I could take credit for turning it up.,JIM COURIER,Individual,2,117,say turned doublefaulted three time wish could take credit turning,"['say', 'turned', 'doublefaulted', 'three', 'time', 'wish', 'could', 'take', 'credit', 'turning']"
13,Auto Racing,"  It's unusual.  It's rare that you would dominate the 500 the way we did, support a single driver to win the drivers championship, then bring home the manufacturers trophy.",TED KLAUS,Blended,2,173,unusual rare would dominate way support single driver win driver championship bring home manufacturer trophy,"['unusual', 'rare', 'would', 'dominate', 'way', 'support', 'single', 'driver', 'win', 'driver', 'championship', 'bring', 'home', 'manufacturer', 'trophy']"
14,Auto Racing,"I feel great. We've had good speed. I look at Vegas, if we didn't get the damage, get trapped down a lap there for a minute, we were really good there, capable of winning.",JOEY LOGANO,Blended,2,171,feel great good speed look vega get damage get trapped lap minute really good capable winning,"['feel', 'great', 'good', 'speed', 'look', 'vega', 'get', 'damage', 'get', 'trapped', 'lap', 'minute', 'really', 'good', 'capable', 'winning']"
15,Tennis," It's just about fairest match I play. Today I was expected to do win, I came through, I'm expected to win tomorrow and I'll go out and do what I do and hopefully things work out.",PETE SAMPRAS,Individual,2,179,fairest match play today expected win came expected win tomorrow what hopefully thing work,"['fairest', 'match', 'play', 'today', 'expected', 'win', 'came', 'expected', 'win', 'tomorrow', 'what', 'hopefully', 'thing', 'work']"
16,Tennis, We just said that we are going to make a couple of tournaments before the Open and the Open.  We didn't talk afterwards.,BORIS BECKER,Individual,6,121,said going make couple tournament open open talk afterwards,"['said', 'going', 'make', 'couple', 'tournament', 'open', 'open', 'talk', 'afterwards']"
17,Golf,"You obviously love your chances, you've won it twice before, what is it about that makes this event so special?",COLIN CALLANDER,Individual,6,111,obviously love chance twice what make event special,"['obviously', 'love', 'chance', 'twice', 'what', 'make', 'event', 'special']"
18,Volleyball,It's not a bad four-year run. It almost feels like it got started against us a few years ago at our place. And they've had their foot on the gas pedal ever since.,KELLY SHEFFIELD,Team,5,162,bad fouryear run almost feel like got started year ago place foot gas pedal ever since,"['bad', 'fouryear', 'run', 'almost', 'feel', 'like', 'got', 'started', 'year', 'ago', 'place', 'foot', 'gas', 'pedal', 'ever', 'since']"
19,Basketball,"  I had so much champagne, I don't even remember what I said to my dad.  Probably I love him.  He's proud of me and I told him this is why we work, this is why we grind.  He congratulated me.",ANTHONY DAVIS,Team,5,191,much champagne even remember what said dad probably love proud told why work why grind congratulated,"['much', 'champagne', 'even', 'remember', 'what', 'said', 'dad', 'probably', 'love', 'proud', 'told', 'why', 'work', 'why', 'grind', 'congratulated']"
20,Golf,"  I hit pretty good tee shot and I have like 195 and it's like downwind, so I hit 6-iron and I have 20 feet and make the putt.",ARIYA JUTANUGARN,Individual,2,126,hit pretty good tee shot like like downwind hit iron foot make putt,"['hit', 'pretty', 'good', 'tee', 'shot', 'like', 'like', 'downwind', 'hit', 'iron', 'foot', 'make', 'putt']"
21,Football,"  I don't think Andre lacked anything.  I think Andre has all of the tools to be a great player, and he is a great player.",JOSH HEUPEL,Team,2,122,think andre lacked anything think andre tool great player great player,"['think', 'andre', 'lacked', 'anything', 'think', 'andre', 'tool', 'great', 'player', 'great', 'player']"
22,Baseball,Absolutely. We're all about winning it all. That's what we're all about. That's what fan base is all about. I think we're going to field the Team that gives us the best opportunity to do that.,MIKE RIZZO,Team,5,192,absolutely winning what what fan base think going field team give best opportunity,"['absolutely', 'winning', 'what', 'what', 'fan', 'base', 'think', 'going', 'field', 'team', 'give', 'best', 'opportunity']"
23,Tennis," Last year I was here watching a little bit, yeah.  The year before, I am not sure, I might have been here too watching it.  I don't know.",MATS WILANDER,Individual,7,138,last year watching little bit yeah year sure might watching know,"['last', 'year', 'watching', 'little', 'bit', 'yeah', 'year', 'sure', 'might', 'watching', 'know']"
24,Tennis," Yeah, two weeks have been just great. No one expect me to go to the quarterfinal, it has been great two weeks.  I am happy that I won. After all, I am very satisfied.",MAGNUS LARSSON,Individual,2,167,yeah two week great one expect quarterfinal great two week happy satisfied,"['yeah', 'two', 'week', 'great', 'one', 'expect', 'quarterfinal', 'great', 'two', 'week', 'happy', 'satisfied']"
25,Tennis," You know, played very well the.  He gave me the opportunities; I took them.  That is why I played well.",CARLOS COSTA,Individual,2,104,know played well gave opportunity took why played well,"['know', 'played', 'well', 'gave', 'opportunity', 'took', 'why', 'played', 'well']"
26,Volleyball,"First of all, congratulations to Stanford. They played a great match tonight. And for our group, obviously disappointing for this season to come to an end after so many adventures that we went on together.",HUGH MCCUTCHEON,Team,5,205,first congratulation stanford played great match tonight group obviously disappointing season come end many adventure went together,"['first', 'congratulation', 'stanford', 'played', 'great', 'match', 'tonight', 'group', 'obviously', 'disappointing', 'season', 'come', 'end', 'many', 'adventure', 'went', 'together']"
27,Football,"  No.  This Team does not get nervous.  We are a very poised, confident group.  We are prepared to go out and play each and every game, and this week is no different.",JOSH HEUPEL,Team,5,166,team get nervous poised confident group prepared play every game week different,"['team', 'get', 'nervous', 'poised', 'confident', 'group', 'prepared', 'play', 'every', 'game', 'week', 'different']"
28,Baseball,"I was trying to put away the hitter. For me something very big because that hitter is very big right now, he's on fire. And it's taking something special for me. And it was very good.",JOSE URQUIDY,Team,2,183,trying put away hitter something big hitter big right fire taking something special good,"['trying', 'put', 'away', 'hitter', 'something', 'big', 'hitter', 'big', 'right', 'fire', 'taking', 'something', 'special', 'good']"
29,Auto Racing,"I mean, I think certainly early in the season that was a major factor. As the season has progressed, it's become less and less of a factor, but it's because we've had to adjust how we do business.",ADAM STEVENS,Blended,2,196,mean think certainly early season major factor season progressed become factor adjust how business,"['mean', 'think', 'certainly', 'early', 'season', 'major', 'factor', 'season', 'progressed', 'become', 'factor', 'adjust', 'how', 'business']"
30,Baseball,"We've been talking a lot. Talk a little bit about baseball, talk about his workouts, and other stuff. He's in a good place.",ALEX CORA,Team,7,123,talking lot talk little bit baseball talk workout stuff good place,"['talking', 'lot', 'talk', 'little', 'bit', 'baseball', 'talk', 'workout', 'stuff', 'good', 'place']"
31,Golf,"  Yeah, absolutely.  It's gorgeous out here.  Really made it super fun having so many people watch, even though it wasn't official spectators.",MATILDA CASTREN,Individual,7,142,yeah absolutely gorgeous really made super fun many people watch even though official spectator,"['yeah', 'absolutely', 'gorgeous', 'really', 'made', 'super', 'fun', 'many', 'people', 'watch', 'even', 'though', 'official', 'spectator']"
32,Lacrosse,"I'm not thinking.  That's something that me and Matt have connected on before.  Incredible look by Matt, and I just had to do the easiest part and put it in the back of the net.",IAN LAVIANO,Team,1,177,thinking something matt connected incredible look matt easiest part put back net,"['thinking', 'something', 'matt', 'connected', 'incredible', 'look', 'matt', 'easiest', 'part', 'put', 'back', 'net']"
33,Golf," Why, because they are all so good and they have done so many good things in golf.  They have won so many tournaments, their golf game is just close to perfection, so of course I am intimidated.",GWLADYS NOCERA,Individual,2,194,why good done many good thing golf many tournament golf game close perfection course intimidated,"['why', 'good', 'done', 'many', 'good', 'thing', 'golf', 'many', 'tournament', 'golf', 'game', 'close', 'perfection', 'course', 'intimidated']"
34,Tennis," Yeah, yeah, it's much better with my technique.  It's much better and now on I knew on hardcourt I couldn't play good.  I could play good, but now, I'm sure.",CEDRIC PIOLINE,Individual,2,158,yeah yeah much better technique much better knew hardcourt could play good could play good sure,"['yeah', 'yeah', 'much', 'better', 'technique', 'much', 'better', 'knew', 'hardcourt', 'could', 'play', 'good', 'could', 'play', 'good', 'sure']"
35,Auto Racing,"I think it made a difference. We ran second, led some laps, ran second all day. We were just a little bit off on speed from the 18 I felt like.",MARTIN TRUEX JR.,Blended,2,143,think made difference ran second led lap ran second day little bit speed felt like,"['think', 'made', 'difference', 'ran', 'second', 'led', 'lap', 'ran', 'second', 'day', 'little', 'bit', 'speed', 'felt', 'like']"
36,Baseball,"Yeah, it just depends on what type of hitter you are. Some people stick to your approach. Some people try to play along a little bit and kind of get a step ahead of him.",ADAM EATON,Team,2,169,yeah depends what type hitter people stick approach people try play along little bit kind get step ahead,"['yeah', 'depends', 'what', 'type', 'hitter', 'people', 'stick', 'approach', 'people', 'try', 'play', 'along', 'little', 'bit', 'kind', 'get', 'step', 'ahead']"
37,Golf,  I felt like that a little bit.  I notice that Ally would always make it on top of me so I thought I was good motivation for her.,LINDSEY WEAVER,Individual,5,130,felt like little bit notice ally would always make top thought good motivation,"['felt', 'like', 'little', 'bit', 'notice', 'ally', 'would', 'always', 'make', 'top', 'thought', 'good', 'motivation']"
38,Golf,"  Oh, my God.  (Laughs) I'm done.  It was a struggle today, especially off the tee.  I think I was spending more time with the crowd than I was inside the ropes today.  So being very fan friendly today.",LISELOTTE NEUMANN,Individual,2,202,god laugh done struggle today especially tee think spending time crowd inside rope today fan friendly today,"['god', 'laugh', 'done', 'struggle', 'today', 'especially', 'tee', 'think', 'spending', 'time', 'crowd', 'inside', 'rope', 'today', 'fan', 'friendly', 'today']"
39,Baseball,"This is something that, like I said, he came in yesterday and felt it a little bit and had these little spasms. Today he woke up and it was a lot worse.",DAVE MARTINEZ,Team,3,152,something like said came yesterday felt little bit little spasm today woke lot worse,"['something', 'like', 'said', 'came', 'yesterday', 'felt', 'little', 'bit', 'little', 'spasm', 'today', 'woke', 'lot', 'worse']"
40,Baseball,"Well, I wouldn't expect the worst strikeout Team to be in the World Series, you know what I'm saying? So I expect them to be good and they are really good.",GERRIT COLE,Team,4,155,well would expect worst strikeout team world series know what saying expect good really good,"['well', 'would', 'expect', 'worst', 'strikeout', 'team', 'world', 'series', 'know', 'what', 'saying', 'expect', 'good', 'really', 'good']"
41,Golf, You've had an incredible season this year.  What do you put it down to?  You've been winning almost every other week.,COLIN CALLANDER,Individual,2,118,incredible season year what put winning almost every week,"['incredible', 'season', 'year', 'what', 'put', 'winning', 'almost', 'every', 'week']"
42,Lacrosse,"First of all, I'll certainly give Salisbury the credit they deserve.  I thought they played a very good game today, very disciplined on offense, and their defense played tight all day.  I give them a lot of credit.",JAKE COON,Team,4,214,first certainly give salisbury credit deserve thought played good game today disciplined offense defense played tight day give lot credit,"['first', 'certainly', 'give', 'salisbury', 'credit', 'deserve', 'thought', 'played', 'good', 'game', 'today', 'disciplined', 'offense', 'defense', 'played', 'tight', 'day', 'give', 'lot', 'credit']"
43,Tennis," Oh, absolutely.  What can I tell you? Three days, I have been all day in the place here trying to play some tennis.  Finally I could go out yesterday for a couple of hours to get something.",BORIS BECKER,Individual,7,190,absolutely what tell three day day place trying play tennis finally could yesterday couple hour get something,"['absolutely', 'what', 'tell', 'three', 'day', 'day', 'place', 'trying', 'play', 'tennis', 'finally', 'could', 'yesterday', 'couple', 'hour', 'get', 'something']"
44,Basketball,"  The snarl?  I kind of just did it.  I've never really made that face before, like ever in my really entire life.  Kind of just happened in the midst of things, in the moment.",TYLER HERRO,Team,7,176,snarl kind never really made face like ever really entire life kind happened midst thing moment,"['snarl', 'kind', 'never', 'really', 'made', 'face', 'like', 'ever', 'really', 'entire', 'life', 'kind', 'happened', 'midst', 'thing', 'moment']"
45,Tennis," I don't know.  I haven't played on stadium.  But compared to the other courts, it is slower, yeah.  It is a little bit difficult for a serve and volley player to play well there.",RICHARD KRAJICEK,Individual,2,179,know played stadium compared court slower yeah little bit difficult serve volley player play well,"['know', 'played', 'stadium', 'compared', 'court', 'slower', 'yeah', 'little', 'bit', 'difficult', 'serve', 'volley', 'player', 'play', 'well']"
46,Baseball,"I echo that. When you have a place that you're proud of that you can go and say, This is such a beautiful field, let's all meet there, let's get together, the camaraderie, it's just amazing.",HEIDI WATNEY,Team,5,190,echo when place proud say beautiful field let meet let get together camaraderie amazing,"['echo', 'when', 'place', 'proud', 'say', 'beautiful', 'field', 'let', 'meet', 'let', 'get', 'together', 'camaraderie', 'amazing']"
47,Golf,"  I'm definitely going to take some time off again.  I took a couple days off before this event, spend it with family.  I'm turning 23 on Wednesday and I don't know what I'm going to do yet.",BIANCA PAGDANGANAN,Individual,7,190,definitely going take time took couple day event spend family turning wednesday know what going yet,"['definitely', 'going', 'take', 'time', 'took', 'couple', 'day', 'event', 'spend', 'family', 'turning', 'wednesday', 'know', 'what', 'going', 'yet']"
48,Lacrosse,"I'll second that.  They are tremendous players but even better people off the field.  I mean, just their leadership and their charisma is very easy to follow.",PJ CLEMENTI,Team,5,158,second tremendous player even better people field mean leadership charisma easy follow,"['second', 'tremendous', 'player', 'even', 'better', 'people', 'field', 'mean', 'leadership', 'charisma', 'easy', 'follow']"
49,Tennis," Oh.  He is going to be tough.  I mean, he is very good player.  He is the top player.  So it is going to be tough.",CEDRIC PIOLINE,Individual,6,115,going tough mean good player top player going tough,"['going', 'tough', 'mean', 'good', 'player', 'top', 'player', 'going', 'tough']"
50,Tennis," I am not really looking that far ahead, playing Michael.  Right now I'm concerned about playing Enqvist and I will worry about it when the time comes.",PETE SAMPRAS,Individual,6,151,really looking far ahead playing michael right concerned playing enqvist worry when time come,"['really', 'looking', 'far', 'ahead', 'playing', 'michael', 'right', 'concerned', 'playing', 'enqvist', 'worry', 'when', 'time', 'come']"
51,Volleyball,"Well, blocking against Jazz Sweet is pretty frustrating, I'm not going to lie but I think we did a pretty good job of staying patient. They were going to get there but we weren't going to get too frustrated.",MOLLY HAGGERTY,Team,2,207,well blocking jazz sweet pretty frustrating going lie think pretty good job staying patient going get going get frustrated,"['well', 'blocking', 'jazz', 'sweet', 'pretty', 'frustrating', 'going', 'lie', 'think', 'pretty', 'good', 'job', 'staying', 'patient', 'going', 'get', 'going', 'get', 'frustrated']"
52,Auto Racing,"All of them. I feel great, ready to go. This is exactly what I needed to get through here and get a little momentum built up. So feel good about all of them. ",JOEY LOGANO,Blended,5,158,feel great ready exactly what needed get get little momentum built feel good,"['feel', 'great', 'ready', 'exactly', 'what', 'needed', 'get', 'get', 'little', 'momentum', 'built', 'feel', 'good']"
53,Baseball,"  Well, I guess to me, it just means that I played on some very good Teams, that's all.  Fortunate to be on the Teams that have made it this far.",MATT WILLIAMS,Team,5,145,well guess mean played good team fortunate team made far,"['well', 'guess', 'mean', 'played', 'good', 'team', 'fortunate', 'team', 'made', 'far']"
54,Baseball,"Obviously, there's measures in this contract that allow for the club to extend the payouts a few extra years in the contract that allows the immediacy of their payroll in the current year is where it has more flexibility.",SCOTT BORAS,Team,7,221,obviously measure contract allow club extend payouts extra year contract allows immediacy payroll current year where flexibility,"['obviously', 'measure', 'contract', 'allow', 'club', 'extend', 'payouts', 'extra', 'year', 'contract', 'allows', 'immediacy', 'payroll', 'current', 'year', 'where', 'flexibility']"
55,Baseball,"Of course. That's always going to help. And, again, like I said before, every Team here is looking for starters because you can never have enough. That's just a fact.",CHARLIE MONTOYO,Team,1,166,course always going help like said every team looking starter never enough fact,"['course', 'always', 'going', 'help', 'like', 'said', 'every', 'team', 'looking', 'starter', 'never', 'enough', 'fact']"
56,Baseball,"I truly believe -- we had opportunities today. We've been doing really well, driving in runs with men in scoring position; it just didn't happen today. So we'll come back tomorrow.",DAVE MARTINEZ,Team,4,180,truly believe opportunity today really well driving run men scoring position happen today come back tomorrow,"['truly', 'believe', 'opportunity', 'today', 'really', 'well', 'driving', 'run', 'men', 'scoring', 'position', 'happen', 'today', 'come', 'back', 'tomorrow']"
57,Tennis, To early to get in any kind of sense for me.  I don't think I have that much of a feel for the tournament yet.,JIM COURIER,Individual,7,111,early get kind sense think much feel tournament yet,"['early', 'get', 'kind', 'sense', 'think', 'much', 'feel', 'tournament', 'yet']"
58,Cricket,"No, we're not practicing that, but I have some knowledge about that. So we share the knowledge with the girls, and we take the decisions -- I talk to keeper and bowler and one senior player. That's it.",CHAMARI ATHAPATHTHU,Team,1,201,practicing knowledge share knowledge girl take decision talk keeper bowler one senior player,"['practicing', 'knowledge', 'share', 'knowledge', 'girl', 'take', 'decision', 'talk', 'keeper', 'bowler', 'one', 'senior', 'player']"
59,Golf, I would say so.  Obviously depends on what we get tomorrow.  But I think these are the conditions you expect when you come over here.,ANNIKA SORENSTAM,Individual,6,134,would say obviously depends what get tomorrow think condition expect when come,"['would', 'say', 'obviously', 'depends', 'what', 'get', 'tomorrow', 'think', 'condition', 'expect', 'when', 'come']"
60,Golf," Well, the 15 majors, but obviously that would be something very, very special.  I think so, yeah.  But hopefully before I get to 15, I'm up at 90.",ANNIKA SORENSTAM,Individual,2,147,well major obviously would something special think yeah hopefully get,"['well', 'major', 'obviously', 'would', 'something', 'special', 'think', 'yeah', 'hopefully', 'get']"
61,Volleyball,"Yeah, it's a good question. I'm not the hiring authority, so I don't know, but I think it's important that we have really strong women in positions of leadership in our sport.",HUGH McCUTCHEON,Team,7,175,yeah good question hiring authority know think important really strong woman position leadership sport,"['yeah', 'good', 'question', 'hiring', 'authority', 'know', 'think', 'important', 'really', 'strong', 'woman', 'position', 'leadership', 'sport']"
62,Tennis, I dived because I had to get the point and there was a little bit of luck and I got it.,CARLOS COSTA,Individual,2,88,dived get point little bit luck got,"['dived', 'get', 'point', 'little', 'bit', 'luck', 'got']"
63,Baseball,"I'm actually looking at him right now, he just walked in my office. We haven't talked yet. I'm going to find out his status. He's going to talk to you in a few minutes.",DAVE MARTINEZ,Team,3,168,actually looking right walked office talked yet going find status going talk minute,"['actually', 'looking', 'right', 'walked', 'office', 'talked', 'yet', 'going', 'find', 'status', 'going', 'talk', 'minute']"
64,Tennis," Yeah, I would definitely say so.  The approaches are also difficult to play in this kind of windy conditions, but still, I think it gives her more problems to pass me than for me coming in.  That is for sure.",HELENA SUKOVA,Individual,2,209,yeah would definitely say approach also difficult play kind windy condition still think give problem pas coming sure,"['yeah', 'would', 'definitely', 'say', 'approach', 'also', 'difficult', 'play', 'kind', 'windy', 'condition', 'still', 'think', 'give', 'problem', 'pas', 'coming', 'sure']"
65,Football,  You don't get a chance to know each other too well.  The thing I know about him is he is a great leader for his football Team and he is a great player.,JOSH HEUPEL,Team,2,153,get chance know well thing know great leader football team great player,"['get', 'chance', 'know', 'well', 'thing', 'know', 'great', 'leader', 'football', 'team', 'great', 'player']"
66,Auto Racing,"There was a lot of things that could happen with lap cars, him guessing wrong, me being able to run the bottom or run the top or get a good run or something along those lines. It never materialized. ",KEVIN HARVICK,Blended,2,199,lot thing could happen lap car guessing wrong able run bottom run top get good run something along line never materialized,"['lot', 'thing', 'could', 'happen', 'lap', 'car', 'guessing', 'wrong', 'able', 'run', 'bottom', 'run', 'top', 'get', 'good', 'run', 'something', 'along', 'line', 'never', 'materialized']"
67,Baseball,"Marisnick? Jake is an impact defender, he's got some base running skills that we can utilize hitting in front of the pitcher. He's got a little bit of history with Corbin, having done pretty well with him.",AJ HINCH,Team,2,205,marisnick jake impact defender got base running skill utilize hitting front pitcher got little bit history corbin done pretty well,"['marisnick', 'jake', 'impact', 'defender', 'got', 'base', 'running', 'skill', 'utilize', 'hitting', 'front', 'pitcher', 'got', 'little', 'bit', 'history', 'corbin', 'done', 'pretty', 'well']"
68,Golf,"  It was fun.  It's nice having my brother on the bag, but it's cool.  This is the first time dad has caddied for me since I've been on tour.",AUSTIN ERNST,Individual,7,141,fun nice brother bag cool first time dad caddied since tour,"['fun', 'nice', 'brother', 'bag', 'cool', 'first', 'time', 'dad', 'caddied', 'since', 'tour']"
69,Tennis," Obviously, it didn't.  Usually I play pretty well when I have an injury, but normally I don't make it a habit.",STEFFI GRAF,Individual,3,111,obviously usually play pretty well when injury normally make habit,"['obviously', 'usually', 'play', 'pretty', 'well', 'when', 'injury', 'normally', 'make', 'habit']"
70,Hockey,I think we obviously have to respond from last night.  It's always about what's in front of you.  Whatever is behind is in the past.  You have no control over it.,PATRICE BERGERON,Team,5,162,think obviously respond last night always what front whatever behind past control,"['think', 'obviously', 'respond', 'last', 'night', 'always', 'what', 'front', 'whatever', 'behind', 'past', 'control']"
71,Basketball,"  Yeah, you know, we realized what they were doing defensive-wise, so we had a much better offensive output in this game, move the ball, move the ball, move the ball, and skew their defense.",BILL LAIMBEER,Team,1,190,yeah know realized what defensivewise much better offensive output game move ball move ball move ball skew defense,"['yeah', 'know', 'realized', 'what', 'defensivewise', 'much', 'better', 'offensive', 'output', 'game', 'move', 'ball', 'move', 'ball', 'move', 'ball', 'skew', 'defense']"
72,Auto Racing,"Yeah, to be honest, we haven't talked all about it. I know he had a great run. I think we all respect his career beyond just that. Yeah, just trying to get better.",CHASE ELLIOTT,Blended,7,163,yeah honest talked know great run think respect career beyond yeah trying get better,"['yeah', 'honest', 'talked', 'know', 'great', 'run', 'think', 'respect', 'career', 'beyond', 'yeah', 'trying', 'get', 'better']"
73,Baseball,"No, for me, he just got -- he starts the game, he gets a little quick. But then he settled down for a little bit and then Chirinos hit a good change-up.",DAVE MARTINEZ,Team,2,152,got start game get little quick settled little bit chirinos hit good changeup,"['got', 'start', 'game', 'get', 'little', 'quick', 'settled', 'little', 'bit', 'chirinos', 'hit', 'good', 'changeup']"
74,Golf,  Probably on 16.  That was the longest putt that I holed today.  It was kind of across the green down there by the water.,PERNILLA LINDBERG,Individual,2,122,probably longest putt holed today kind across green water,"['probably', 'longest', 'putt', 'holed', 'today', 'kind', 'across', 'green', 'water']"
75,Tennis," No.  Each one wants to do the best she can.  But we don't think ""I want to be better than my sister.""  Each one wants to do the best she can, but for herself.",MANUELA MALEEVA-FRAGNIERE,Individual,5,159,one want best think want better sister one want best,"['one', 'want', 'best', 'think', 'want', 'better', 'sister', 'one', 'want', 'best']"
76,Golf," Absolutely.  I'd like to see Michelle, although I didn't want her to win on Sunday because I wanted to win, but as it turned out neither of us won; obviously Karrie won.",LAURA DAVIES,Individual,5,170,absolutely would like see michelle although want win sunday wanted win turned neither obviously karrie,"['absolutely', 'would', 'like', 'see', 'michelle', 'although', 'want', 'win', 'sunday', 'wanted', 'win', 'turned', 'neither', 'obviously', 'karrie']"
77,Football,Michigan State was a physical Team.  They dominated us in all three aspects of the game.  I thought they were a really well coached Team and physical throughout all four quarts.,UNIDENTIFIED SPEAKER,Team,4,177,michigan state physical team dominated three aspect game thought really well coached team physical throughout four quart,"['michigan', 'state', 'physical', 'team', 'dominated', 'three', 'aspect', 'game', 'thought', 'really', 'well', 'coached', 'team', 'physical', 'throughout', 'four', 'quart']"
78,Baseball,"Well, we feel like we're -- two years ago now this next year we feel like coming into this next season that's going to be the goal. It should be when you have won back-to-back 97-game seasons.",BOB MELVIN,Team,6,192,well feel like two year ago next year feel like coming next season going goal when backtoback game season,"['well', 'feel', 'like', 'two', 'year', 'ago', 'next', 'year', 'feel', 'like', 'coming', 'next', 'season', 'going', 'goal', 'when', 'backtoback', 'game', 'season']"
79,Volleyball,"I agree with everything they said. I couldn't have asked for a better senior year, and I'm just so thankful for everyone (tearing) Texas A&M volleyball has a really bright future and I'm excited to watch.",HOLLAND HANS,Team,5,204,agree everything said could asked better senior year thankful everyone tearing texas volleyball really bright future excited watch,"['agree', 'everything', 'said', 'could', 'asked', 'better', 'senior', 'year', 'thankful', 'everyone', 'tearing', 'texas', 'volleyball', 'really', 'bright', 'future', 'excited', 'watch']"
80,Baseball,"Yeah, absolutely, I got a couple to fix up about my mechanic, and I want to work this offseason about that.",JOSE URQUIDY,Team,2,107,yeah absolutely got couple fix mechanic want work offseason,"['yeah', 'absolutely', 'got', 'couple', 'fix', 'mechanic', 'want', 'work', 'offseason']"
81,Tennis," Not many people would, but if someone starts to mention, hey, this and that the other, I say listen I could careless.",JIM COURIER,Individual,7,118,many people would someone start mention hey say listen could careless,"['many', 'people', 'would', 'someone', 'start', 'mention', 'hey', 'say', 'listen', 'could', 'careless']"
82,Hockey,"Yeah, that line's been great for us whenever they're together.  Robby came in, brought some speed, some legs.  Looked pretty good.",ALEX PIETRANGELO,Team,2,130,yeah line great whenever together robby came brought speed leg looked pretty good,"['yeah', 'line', 'great', 'whenever', 'together', 'robby', 'came', 'brought', 'speed', 'leg', 'looked', 'pretty', 'good']"
83,Tennis, Not particularly.  I think surface probably suits him a little more than it suits me.  Probably more comfortable on this than he is on grass.,WALLY MASUR,Individual,2,142,particularly think surface probably suit little suit probably comfortable grass,"['particularly', 'think', 'surface', 'probably', 'suit', 'little', 'suit', 'probably', 'comfortable', 'grass']"
